model,dataset,stream,auc,n,estimator,source
Qwen3-Omni-30B-A3B,edaic_conflict,zero shot answer,0.6294,390,"zero shot, 30 s window, 390 conflict-manifest rows",/Users/chaitanyaparwatkar/Desktop/release/edaic_conflict_new/q3o_edaic_conflict_zeroshot.json
Qwen3-Omni-30B-A3B,edaicfull,transcript only,0.8465,275,"text only, one documented prompt",/Users/chaitanyaparwatkar/Desktop/release/overnight2/text_new/q3o_edaicfull_text.json
Qwen3-Omni-30B-A3B,kcl,LM probe,0.7131,37,"five split nested, mean of 5 repeats",/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_kcl_nested_repeats.json
Qwen3-Omni-30B-A3B,kcl,answer-state probe,0.6911,37,"five split nested, mean of 5 repeats",/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_kcl_nested_repeats.json
Qwen3-Omni-30B-A3B,kcl,encoder probe,0.7661,37,"five split nested, mean of 5 repeats",/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_kcl_nested_repeats.json
Qwen3-Omni-30B-A3B,kcl,projector probe,0.8095,37,single split nested,/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_kcl_nested_repeats.json
Qwen3-Omni-30B-A3B,kcl,transcript only,0.4673,37,"text only, one documented prompt",/Users/chaitanyaparwatkar/Desktop/release/overnight2/text_new/q3o_kcl_text.json
Qwen3-Omni-30B-A3B,kcl,zero shot answer,0.7738,37,"zero shot, 30 s window",/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_kcl_zeroshot.json
Qwen3-Omni-30B-A3B,neurovoz,LM probe,0.9359,1270,"five split nested, mean of 5 repeats",/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_neurovoz_nested_repeats.json
Qwen3-Omni-30B-A3B,neurovoz,answer-state probe,0.9447,1270,"five split nested, mean of 5 repeats",/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_neurovoz_nested_repeats.json
Qwen3-Omni-30B-A3B,neurovoz,encoder probe,0.9372,1270,"five split nested, mean of 5 repeats",/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_neurovoz_nested_repeats.json
Qwen3-Omni-30B-A3B,neurovoz,projector probe,0.9362,1270,single split nested,/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_neurovoz_nested_repeats.json
Qwen3-Omni-30B-A3B,neurovoz,transcript only,0.5656,1270,"text only, one documented prompt",/Users/chaitanyaparwatkar/Desktop/release/overnight2/text_new/q3o_neurovoz_text.json
Qwen3-Omni-30B-A3B,neurovoz,zero shot answer,0.6393,1270,"zero shot, 30 s window",/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_neurovoz_zeroshot.json
Qwen3-Omni-30B-A3B,pcgita,LM probe,0.8807,1100,"five split nested, mean of 5 repeats",/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_pcgita_nested_repeats.json
Qwen3-Omni-30B-A3B,pcgita,answer-state probe,0.8807,1100,"five split nested, mean of 5 repeats",/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_pcgita_nested_repeats.json
Qwen3-Omni-30B-A3B,pcgita,encoder probe,0.8969,1100,"five split nested, mean of 5 repeats",/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_pcgita_nested_repeats.json
Qwen3-Omni-30B-A3B,pcgita,projector probe,0.8862,1100,single split nested,/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_pcgita_nested_repeats.json
Qwen3-Omni-30B-A3B,pcgita,transcript only,0.5264,1100,"text only, one documented prompt",/Users/chaitanyaparwatkar/Desktop/release/overnight2/text_new/q3o_pcgita_text.json
Qwen3-Omni-30B-A3B,pcgita,zero shot answer,0.5967,1100,"zero shot, 30 s window",/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_pcgita_zeroshot.json
Qwen3-Omni-30B-A3B,pitt,LM probe,0.8477,468,"five split nested, mean of 5 repeats",/Users/chaitanyaparwatkar/Desktop/release/overnight2/final/q3o_pitt_nested_repeats.json
Qwen3-Omni-30B-A3B,pitt,answer-state probe,0.8268,468,"five split nested, mean of 5 repeats",/Users/chaitanyaparwatkar/Desktop/release/overnight2/final/q3o_pitt_nested_repeats.json
Qwen3-Omni-30B-A3B,pitt,encoder probe,0.8289,468,"five split nested, mean of 5 repeats",/Users/chaitanyaparwatkar/Desktop/release/overnight2/final/q3o_pitt_nested_repeats.json
Qwen3-Omni-30B-A3B,pitt,projector probe,0.7619,468,single split nested,/Users/chaitanyaparwatkar/Desktop/release/overnight2/final/q3o_pitt_nested_repeats.json
Qwen3-Omni-30B-A3B,pitt,transcript only,0.6256,468,"text only, one documented prompt",/Users/chaitanyaparwatkar/Desktop/release/overnight2/text_new/q3o_pitt_text.json
Qwen3-Omni-30B-A3B,pitt,zero shot answer,0.7619,468,"zero shot, 30 s window",/Users/chaitanyaparwatkar/Desktop/release/overnight2/q3o_new/q3o_pitt_zeroshot.json
Qwen2.5-Omni,edaic_mid30,zero shot answer,0.7205,275,"zero shot, mid-recording 30 s window from stitched participant audio, all 275 capped, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid30_zeroshot.json
Qwen2.5-Omni,edaic_mid30,encoder probe,0.577,275,"five split nested, mean of 5 repeats, mid-recording 30 s window, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid30_nested_repeats.json
Qwen2.5-Omni,edaic_mid30,projector probe,0.438,275,"single split nested, mid-recording 30 s window, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid30_nested_repeats.json
Qwen2.5-Omni,edaic_mid30,LM probe,0.6249,275,"five split nested, mean of 5 repeats, mid-recording 30 s window, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid30_nested_repeats.json
Qwen2.5-Omni,edaic_mid30,answer-state probe,0.6593,275,"five split nested, mean of 5 repeats, mid-recording 30 s window, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid30_nested_repeats.json
Qwen2.5-Omni,edaic_mid30,projector fine tune,0.6669,275,"projector only fine tune, 5 fold out of fold AUC, 3 epochs, lr 1e-4, clip list mf_mid30.csv (mid-recording 30 s window), E-DAIC 275 speakers [sidecar window_seconds reads 30 for all three variants, stale field, window is set by the clip list]",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/sft_mid30_sft.json
Qwen2-Audio,edaic_mid30,zero shot answer,0.6891,275,"zero shot, mid-recording 30 s window from stitched participant audio, all 275 capped, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/q2a_mid30_zeroshot.json
Qwen3-Omni-30B-A3B,edaic_mid30,zero shot answer,0.7153,275,"zero shot, mid-recording 30 s window from stitched participant audio, all 275 capped, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/q3o_mid30_zeroshot.json
Audio Flamingo 3,edaic_mid30,zero shot answer,0.6949,275,"zero shot, mid-recording 30 s window from stitched participant audio, all 275 capped, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/af3_mid30.json
Kimi-Audio,edaic_mid30,zero shot answer,0.6664,275,"zero shot, mid-recording 30 s window from stitched participant audio, all 275 capped, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/kimi_mid30_zeroshot.json
Qwen2.5-Omni,edaic_mid300,zero shot answer,0.8122,275,"zero shot, 300 s window from stitched participant audio, 217 of 275 capped, median window 300.0 s, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid300_zeroshot.json
Qwen2.5-Omni,edaic_mid300,encoder probe,0.6168,275,"five split nested, mean of 5 repeats, 300 s window, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid300_nested_repeats.json
Qwen2.5-Omni,edaic_mid300,projector probe,0.5703,275,"single split nested, 300 s window, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid300_nested_repeats.json
Qwen2.5-Omni,edaic_mid300,LM probe,0.6351,275,"five split nested, mean of 5 repeats, 300 s window, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid300_nested_repeats.json
Qwen2.5-Omni,edaic_mid300,answer-state probe,0.7065,275,"five split nested, mean of 5 repeats, 300 s window, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid300_nested_repeats.json
Qwen2.5-Omni,edaic_mid300,projector fine tune,0.6595,275,"projector only fine tune, 5 fold out of fold AUC, 3 epochs, lr 1e-4, clip list mf_mid300.csv (300 s window), E-DAIC 275 speakers [sidecar window_seconds reads 30 for all three variants, stale field, window is set by the clip list]",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/sft_mid300_sft.json
Qwen2-Audio,edaic_mid300,zero shot answer,0.6332,275,"zero shot, 300 s window from stitched participant audio, 217 of 275 capped, median window 300.0 s, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/q2a_mid300_zeroshot.json
Qwen3-Omni-30B-A3B,edaic_mid300,zero shot answer,0.8217,275,"zero shot, 300 s window from stitched participant audio, 217 of 275 capped, median window 300.0 s, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/q3o_mid300_zeroshot.json
Audio Flamingo 3,edaic_mid300,zero shot answer,0.8374,275,"zero shot, 300 s window from stitched participant audio, 217 of 275 capped, median window 300.0 s, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/af3_mid300.json
Kimi-Audio,edaic_mid300,zero shot answer,0.6581,275,"zero shot, 300 s window from stitched participant audio, 217 of 275 capped, median window 300.0 s, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/kimi_mid300_zeroshot.json
Qwen2.5-Omni,edaic_full,zero shot answer,0.8285,275,"zero shot, full stitched participant audio capped at 900 s, 89 of 275 capped, median window 591.8 s, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_full_zeroshot.json
Qwen2.5-Omni,edaic_full,encoder probe,0.593,275,"five split nested, mean of 5 repeats, full window capped at 900 s, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_full_nested_repeats.json
Qwen2.5-Omni,edaic_full,projector probe,0.5293,275,"single split nested, full window capped at 900 s, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_full_nested_repeats.json
Qwen2.5-Omni,edaic_full,LM probe,0.6853,275,"five split nested, mean of 5 repeats, full window capped at 900 s, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_full_nested_repeats.json
Qwen2.5-Omni,edaic_full,answer-state probe,0.7542,275,"five split nested, mean of 5 repeats, full window capped at 900 s, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_full_nested_repeats.json
Qwen2.5-Omni,edaic_full,projector fine tune,0.6421,275,"projector only fine tune, 5 fold out of fold AUC, 3 epochs, lr 1e-4, clip list mf_full.csv (full window capped at 900 s), E-DAIC 275 speakers [sidecar window_seconds reads 30 for all three variants, stale field, window is set by the clip list]",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/sft_full_sft.json
Qwen2-Audio,edaic_full,zero shot answer,0.633,275,"zero shot, full stitched participant audio capped at 900 s, 89 of 275 capped, median window 591.8 s, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/q2a_full_zeroshot.json
Qwen3-Omni-30B-A3B,edaic_full,zero shot answer,0.8741,275,"zero shot, full stitched participant audio capped at 900 s, 89 of 275 capped, median window 591.8 s, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/q3o_full_zeroshot.json
Audio Flamingo 3,edaic_full,zero shot answer,0.8565,275,"zero shot, full stitched participant audio capped at 900 s, 89 of 275 capped, median window 591.8 s, E-DAIC 275 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/af3_full.json
Kimi-Audio,edaic_full,zero shot answer,0.5929,275,"zero shot, full stitched participant audio capped at 900 s, 89 of 275 capped, median window 591.8 s, E-DAIC 275 speakers [sidecar sits in pitt_all/ but its clip_list is mf_full.csv, so this is E-DAIC, not Pitt]",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/pitt_all/kimi_full_zeroshot.json
Qwen2.5-Omni,pitt_all,zero shot answer,0.6695,708,"zero shot, all three text-probability tertiles kept, merged consecutive *PAR: segments >= 30 s, 708 clips / 266 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/pitt_all/o25_pitt_all_zeroshot.json
Qwen2.5-Omni,pitt_all,transcript only,0.6215,708,"text only, one documented prompt, all three text-probability tertiles kept, merged consecutive *PAR: segments >= 30 s, 708 clips / 266 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/pitt_all/o25_pitt_all_text.json
Qwen2.5-Omni,pitt_all,encoder probe,0.7968,708,"five split nested, mean of 5 repeats, all three text-probability tertiles kept, merged consecutive *PAR: segments >= 30 s, 708 clips / 266 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/pitt_all/o25_pitt_all_nested_repeats.json
Qwen2.5-Omni,pitt_all,projector probe,0.7632,708,"single split nested, all three text-probability tertiles kept, merged consecutive *PAR: segments >= 30 s, 708 clips / 266 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/pitt_all/o25_pitt_all_nested_repeats.json
Qwen2.5-Omni,pitt_all,LM probe,0.8125,708,"five split nested, mean of 5 repeats, all three text-probability tertiles kept, merged consecutive *PAR: segments >= 30 s, 708 clips / 266 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/pitt_all/o25_pitt_all_nested_repeats.json
Qwen2.5-Omni,pitt_all,answer-state probe,0.7744,708,"five split nested, mean of 5 repeats, all three text-probability tertiles kept, merged consecutive *PAR: segments >= 30 s, 708 clips / 266 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/pitt_all/o25_pitt_all_nested_repeats.json
Qwen2.5-Omni,pitt_all,projector fine tune,0.7904,708,"projector only fine tune, 5 fold out of fold AUC, 3 epochs, lr 1e-4, all three text-probability tertiles kept, merged consecutive *PAR: segments >= 30 s, 708 clips / 266 speakers",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/pitt_all/sft_pitt_all_sft.json
Qwen2.5-Omni,edaic_conflict_v2,zero shot answer,0.6343,966,"zero shot, 30 s window, pooled over the conflict and agreement arms, 483 pairs / 966 clips / 138 speakers, pairs selected with cardiffnlp/twitter-roberta-base-sentiment-latest at threshold 0.70",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_o25_zeroshot.json
Qwen2-Audio,edaic_conflict_v2,zero shot answer,0.6277,966,"zero shot, 30 s window, pooled over the conflict and agreement arms, 483 pairs / 966 clips / 138 speakers, pairs selected with cardiffnlp/twitter-roberta-base-sentiment-latest at threshold 0.70",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_q2a_zeroshot.json
Qwen3-Omni-30B-A3B,edaic_conflict_v2,zero shot answer,0.6867,966,"zero shot, 30 s window, pooled over the conflict and agreement arms, 483 pairs / 966 clips / 138 speakers, pairs selected with cardiffnlp/twitter-roberta-base-sentiment-latest at threshold 0.70",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_q3o_zeroshot.json
Kimi-Audio,edaic_conflict_v2,zero shot answer,0.7146,966,"zero shot, 30 s window, pooled over the conflict and agreement arms, 483 pairs / 966 clips / 138 speakers, pairs selected with cardiffnlp/twitter-roberta-base-sentiment-latest at threshold 0.70",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_kimi_zeroshot.json
Audio Flamingo 3,edaic_conflict_v2,zero shot answer,0.6283,966,"zero shot, 30 s window, pooled over the conflict and agreement arms, 483 pairs / 966 clips / 138 speakers, pairs selected with cardiffnlp/twitter-roberta-base-sentiment-latest at threshold 0.70",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_af3.json
Audio Flamingo 2,edaic_conflict_v2,zero shot answer,0.5678,966,"zero shot, 30 s window, pooled over the conflict and agreement arms, 483 pairs / 966 clips / 138 speakers, pairs selected with cardiffnlp/twitter-roberta-base-sentiment-latest at threshold 0.70, local Mac CPU run",/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_af2.json
