key,model,dataset,stream,arm,value,lo,hi,n,n_spk,estimator,file,note
hc_enc_minus_egemaps_pitt,Qwen2.5-Omni,pitt,enc_minus_egemaps,all,0.1159,,,468,228,Qwen2.5-Omni nested encoder probe (5-repeat mean 0.7706) minus eGeMAPS OOF AUC 0.6547,<local data dir>/release/overnight/perclip/egemaps_pitt_oof.csv,
hc_enc_minus_egemaps_adresso,Qwen2.5-Omni,adresso,enc_minus_egemaps,all,0.1810,,,237,237,Qwen2.5-Omni nested encoder probe (5-repeat mean 0.8752) minus eGeMAPS OOF AUC 0.6942,<local data dir>/release/overnight/perclip/egemaps_adresso_oof.csv,
hc_enc_minus_egemaps_adress2020,Qwen2.5-Omni,adress2020,enc_minus_egemaps,all,0.0921,,,156,156,Qwen2.5-Omni nested encoder probe (5-repeat mean 0.8043) minus eGeMAPS OOF AUC 0.7122,<local data dir>/release/overnight/perclip/egemaps_adress2020_oof.csv,
hc_enc_minus_egemaps_edaic,Qwen2.5-Omni,edaic,enc_minus_egemaps,all,0.0657,,,275,275,Qwen2.5-Omni nested encoder probe (5-repeat mean 0.5966) minus eGeMAPS OOF AUC 0.5309,<local data dir>/release/overnight/perclip/egemaps_edaic_oof.csv,
hc_egemaps_sep5_pitt,eGeMAPS,pitt,egemaps_sep5,all,0.6220,,,468,,"OLDER eGeMAPS baseline (file dated Sep 5, mean over folds, std 0.032); NOT the Sep 18 per-clip OOF run",<local data dir>/paper work/Hard drive data for paper/acoustic_baseline.csv,
hc_egemaps_sep5_adresso,eGeMAPS,adresso,egemaps_sep5,all,0.7260,,,237,,"OLDER eGeMAPS baseline (file dated Sep 5, mean over folds, std 0.074); NOT the Sep 18 per-clip OOF run",<local data dir>/paper work/Hard drive data for paper/acoustic_baseline.csv,
hc_egemaps_sep5_adress2020,eGeMAPS,adress2020,egemaps_sep5,all,0.6980,,,156,,"OLDER eGeMAPS baseline (file dated Sep 5, mean over folds, std 0.103); NOT the Sep 18 per-clip OOF run",<local data dir>/paper work/Hard drive data for paper/acoustic_baseline.csv,
hc_egemaps_sep5_kcl,eGeMAPS,kcl,egemaps_sep5,all,0.8000,,,37,,"OLDER eGeMAPS baseline (file dated Sep 5, mean over folds, std 0.172); NOT the Sep 18 per-clip OOF run",<local data dir>/paper work/Hard drive data for paper/acoustic_baseline.csv,
hc_zs_Qwen2.5-Omni_pcgita,Qwen2.5-Omni,pcgita,zero_shot,all,0.5635,,,1100,100,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv,
hc_zs_Qwen2.5-Omni_neurovoz,Qwen2.5-Omni,neurovoz,zero_shot,all,0.6951,,,1270,107,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv,
hc_zs_Qwen2.5-Omni_kcl,Qwen2.5-Omni,kcl,zero_shot,all,0.7143,,,37,37,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv,
hc_zs_Qwen2.5-Omni_pitt,Qwen2.5-Omni,pitt,zero_shot,all,0.6578,,,468,228,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,
hc_zs_Qwen2.5-Omni_adresso,Qwen2.5-Omni,adresso,zero_shot,all,0.6150,,,237,237,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/release/omni_final/omni_adresso_zeroshot_scores.csv,
hc_zs_Qwen2.5-Omni_adress2020,Qwen2.5-Omni,adress2020,zero_shot,all,0.6241,,,156,156,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/release/omni_final/omni_adress2020_zeroshot_scores.csv,
hc_zs_Qwen2.5-Omni_edaic,Qwen2.5-Omni,edaic,zero_shot,all,0.6620,,,275,275,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/release/omni_final/omni_edaic_zeroshot_scores.csv,
hc_zs_Qwen2-Audio_pcgita,Qwen2-Audio,pcgita,zero_shot,all,0.5369,,,1100,1100,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/paper work/paper1_local_runs/probe2/pcgita_zeroshot_scores.csv,
hc_zs_Qwen2-Audio_neurovoz,Qwen2-Audio,neurovoz,zero_shot,all,0.5519,,,1270,107,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/paper work/paper1_local_runs/probe2/neurovoz_zeroshot_scores.csv,
hc_zs_Qwen2-Audio_kcl,Qwen2-Audio,kcl,zero_shot,all,0.5923,,,37,37,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/paper work/paper1_local_runs/probe2/kcl_zeroshot_scores.csv,
hc_zs_Qwen2-Audio_pitt,Qwen2-Audio,pitt,zero_shot,all,0.6173,,,468,228,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/paper work/paper1_local_runs/probe2/pitt_zeroshot_scores.csv,
hc_zs_Qwen2-Audio_adresso,Qwen2-Audio,adresso,zero_shot,all,0.6649,,,237,237,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/paper work/paper1_local_runs/probe2/adresso_zeroshot_scores.csv,
hc_zs_Qwen2-Audio_adress2020,Qwen2-Audio,adress2020,zero_shot,all,0.6824,,,156,156,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/paper work/paper1_local_runs/probe2/adress2020_zeroshot_scores.csv,
hc_zs_Qwen2-Audio_edaic,Qwen2-Audio,edaic,zero_shot,all,0.6464,,,275,275,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/paper work/paper1_local_runs/probe2/edaic_zeroshot_scores.csv,
hc_zs_Qwen3-Omni_pcgita,Qwen3-Omni,pcgita,zero_shot,all,0.5967,,,1100,100,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/release/overnight2/q3o_new/q3o_pcgita_zeroshot_scores.csv,
hc_zs_Qwen3-Omni_neurovoz,Qwen3-Omni,neurovoz,zero_shot,all,0.6393,,,1270,107,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_zeroshot_scores.csv,
hc_zs_Qwen3-Omni_kcl,Qwen3-Omni,kcl,zero_shot,all,0.7738,,,37,37,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/release/overnight2/q3o_new/q3o_kcl_zeroshot_scores.csv,
hc_zs_Qwen3-Omni_pitt,Qwen3-Omni,pitt,zero_shot,all,0.7619,,,468,228,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv,
hc_zs_Qwen3-Omni_adresso,Qwen3-Omni,adresso,zero_shot,all,0.7774,,,237,237,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/release/overnight2/q3o_new/q3o_adresso_zeroshot_scores.csv,
hc_zs_Qwen3-Omni_adress2020,Qwen3-Omni,adress2020,zero_shot,all,0.7097,,,156,156,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/release/overnight2/q3o_new/q3o_adress2020_zeroshot_scores.csv,
hc_zs_Qwen3-Omni_edaic,Qwen3-Omni,edaic,zero_shot,all,0.6290,,,275,275,"zero shot answer, rank AUC recomputed here from per-clip p_yes",<local data dir>/release/overnight2/q3o_new/q3o_edaic_zeroshot_scores.csv,
hc_pitt_rate_alone_all708,recording,pitt_all,speaking_rate_alone,all,0.6970,,,708,265,"speaking rate alone, clip-level rank AUC, direction-free max(auc, 1-auc) (raw auc 0.3030), all708 segments",<local data dir>/release/edaic_rerun/pitt_all_segments.csv,"tertile values seen: ['high', 'low', 'middle']"
hc_pitt_rate_alone_kept468,recording,pitt,speaking_rate_alone,all,0.7082,,,468,227,"speaking rate alone, clip-level rank AUC, direction-free max(auc, 1-auc) (raw auc 0.2918), kept468 segments",<local data dir>/release/edaic_rerun/pitt_all_segments.csv,"tertile values seen: ['high', 'low', 'middle']"
hc_edaic_conflict_pool_dep_pos,count,edaic_conflict_v2,conflict_count_pool,conflict,208.0000,,,208,140,"E-DAIC conflict segments, PHQ-8 >= 15 speaking positively (label 1), pool before pairing (RoBERTa arm column arm_roberta)",<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,
hc_edaic_conflict_pool_ctrl_neg,count,edaic_conflict_v2,conflict_count_pool,conflict,280.0000,,,280,140,"E-DAIC conflict segments, PHQ-8 <= 4 speaking negatively (label 0), pool before pairing (RoBERTa arm column arm_roberta)",<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,
hc_edaic_conflict_pool_total,count,edaic_conflict_v2,conflict_count_pool,conflict,488.0000,,,488,140,"E-DAIC conflict segments total, pool before pairing",<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,
hc_edaic_conflict_paired_dep_pos,count,edaic_conflict_v2,conflict_count_paired,conflict,205.0000,,,205,138,"E-DAIC conflict segments, PHQ-8 >= 15 speaking positively (label 1), paired (Part 14 manifest) (RoBERTa arm column arm_roberta_selected)",<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,
hc_edaic_conflict_paired_ctrl_neg,count,edaic_conflict_v2,conflict_count_paired,conflict,278.0000,,,278,138,"E-DAIC conflict segments, PHQ-8 <= 4 speaking negatively (label 0), paired (Part 14 manifest) (RoBERTa arm column arm_roberta_selected)",<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,
hc_edaic_conflict_paired_total,count,edaic_conflict_v2,conflict_count_paired,conflict,483.0000,,,483,138,"E-DAIC conflict segments total, paired (Part 14 manifest)",<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,
hc_rate_shortcut_code_comment,recording,pitt,speaking_rate_alone,all,0.9200,,,,,"CODE COMMENT, not a result file: build_ad_conflict.py line 73 says the rate shortcut was 'caught by the validity battery at AUC 0.92'",<local data dir>/DementiaBank/build_ad_conflict.py,ALT: no result file on disk carries this number
