row,part,task,id,paper_role,sampled,value_verified,lo,hi,n,file,resolved,method,config,check_value,check_lo,check_hi,value_status,ci_status,note
384,16,POD2,P16.POD2.V1,PAPER VALUE,paper value,0.7673,0.7086,0.8231,468,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.7673,0.7086,0.8231,MATCH (recomputed),CI MATCH,
385,16,POD2,P16.POD2.V2,PAPER VALUE,paper value,0.6578,0.6033,0.7125,468,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.6578,0.6033,0.7125,MATCH (recomputed),CI MATCH,
386,16,POD2,P16.POD2.V3,PAPER VALUE,paper value,0.5189,0.4151,0.6300,146,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,per-clip recompute (own Mann-Whitney),auc conflict [p_yes],0.5189,0.4151,0.6300,MATCH (recomputed),CI MATCH,
387,16,POD2,P16.POD2.V4,PAPER VALUE,paper value,0.8593,0.8063,0.9069,322,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,per-clip recompute (own Mann-Whitney),auc agreement [p_yes],0.8593,0.8063,0.9069,MATCH (recomputed),CI MATCH,
389,16,POD2,P16.POD2.X1,SUPERSEDED / NOT USED,random 10%,0.8202,0.7690,0.8679,468,<local data dir>/release/omni_final/abl_pitt_oof.csv,<local data dir>/release/omni_final/abl_pitt_oof.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.8202,0.7690,0.8679,MATCH (recomputed),CI MATCH,
393,16,POD2,P16.POD2.P1,PAPER VALUE,paper value,5046272,,,468,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_params.json,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_params.json,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_params.json,,,,FOUND IN FILE,,
394,16,POD2,P16.POD2.P2,PAPER VALUE,paper value,0.04702,,,468,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_params.json,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_params.json,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_params.json,,,,FOUND IN FILE,,
397,16,POD2,P16.POD2.L1,PAPER VALUE,paper value,0.8250,0.7735,0.8729,468,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.8250,0.7735,0.8729,MATCH (recomputed),CI MATCH,
398,16,POD2,P16.POD2.L2,PAPER VALUE,paper value,0.5520,0.4348,0.6833,146,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv,per-clip recompute (own Mann-Whitney),auc conflict [p_yes],0.5520,0.4348,0.6833,MATCH (recomputed),CI MATCH,
399,16,POD2,P16.POD2.L3,PAPER VALUE,paper value,0.9199,0.8846,0.9513,322,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv,per-clip recompute (own Mann-Whitney),auc agreement [p_yes],0.9199,0.8846,0.9513,MATCH (recomputed),CI MATCH,
400,16,POD2,P16.POD2.L4,PAPER VALUE,paper value,-0.3679,-0.4861,-0.2433,468,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv,per-clip recompute (own Mann-Whitney),auc conflict [p_yes] MINUS auc agreement [p_yes],-0.3679,-0.4861,-0.2433,MATCH (recomputed),CI MATCH,
402,16,POD2,P16.POD2.L6,RELEASED ONLY,random 10%,21.013,,,468,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_lora.json,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_lora.json,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_lora.json,,,,FOUND IN FILE,,
405,16,POD2,P16.POD2.D1,PAPER VALUE,paper value,0.0577,0.0154,0.1044,468,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv + omni_final/omnisft_pitt_oof.csv,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv ; <local data dir>/release/omni_final/omnisft_pitt_oof.csv,custom recompute from per-clip file (own code),"AUC(lora_pitt_oof.csv) minus AUC(omnisft_pitt_oof.csv), clips aligned by name, paired speaker draw, n=468",0.0577,0.0154,0.1044,MATCH (recomputed),CI MATCH,
406,16,POD2,P16.POD2.D2,PAPER VALUE,paper value,0.1672,0.1071,0.2264,468,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv + omni_final/omni_pitt_zeroshot_scores.csv,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv ; <local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,custom recompute from per-clip file (own code),"AUC(lora_pitt_oof.csv) minus AUC(omni_pitt_zeroshot_scores.csv), clips aligned by name, paired speaker draw, n=468",0.1672,0.1071,0.2264,MATCH (recomputed),CI MATCH,
407,16,POD2,P16.POD2.D3,PAPER VALUE,paper value,0.1095,0.0454,0.1728,468,omni_final/omnisft_pitt_oof.csv + omni_final/omni_pitt_zeroshot_scores.csv,<local data dir>/release/omni_final/omnisft_pitt_oof.csv ; <local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,custom recompute from per-clip file (own code),"AUC(omnisft_pitt_oof.csv) minus AUC(omni_pitt_zeroshot_scores.csv), clips aligned by name, paired speaker draw, n=468",0.1095,0.0454,0.1728,MATCH (recomputed),CI MATCH,
408,16,POD3,3b_all_cos,PAPER VALUE,paper value,0.0051,,,468,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,,,,FOUND IN FILE,,
409,16,POD3,3b_all_auc_probe,PAPER VALUE,paper value,0.8307,0.7833,0.8741,468,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,,,,FOUND IN FILE,CI ends found in file,
410,16,POD3,3b_all_auc_d,PAPER VALUE,paper value,0.7656,0.7088,0.8179,468,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,,,,FOUND IN FILE,CI ends found in file,
415,16,POD3,3b_conflict_auc_wo_d,SUPERSEDED / NOT USED,random 10%,0.6196,0.5094,0.7283,146,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,,,,FOUND IN FILE,CI ends found in file,
417,16,POD3,3b_agreement_auc_probe,SUPERSEDED / NOT USED,random 10%,0.9349,0.9034,0.9614,322,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/POD3/readout_direction_q3o_by_arm.csv,,,,FOUND IN FILE,CI ends found in file,
421,16,POD3,3a_pitt_zeroshot_shipped,SUPPORT,random 10%,0.7619,,,468,<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv,<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.7619,,,MATCH (recomputed),,
422,16,POD3,3a_pitt_enc_nested,PAPER VALUE,paper value,0.8122,0.7613,0.8625,468,<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_encoder_perlayer.csv,<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_encoder_perlayer.csv,custom recompute from per-clip file (own code),"mean of 5 per-repeat AUCs, POD3/q3o_pitt_encoder_nested_oof.csv",0.8122,0.7613,0.8625,MATCH (recomputed),CI MATCH,"cited file is the per-layer csv, which does not hold this value; recomputed from the nested OOF file beside it"
430,16,POD3,3a_pcgita_zeroshot_shipped,PAPER VALUE,paper value,0.5967,,,1100,<local data dir>/release/overnight2/q3o_new/q3o_pcgita_zeroshot_scores.csv,<local data dir>/release/overnight2/q3o_new/q3o_pcgita_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.5967,,,MATCH (recomputed),,
432,16,POD3,3a_attn_eager,RELEASED ONLY,random 10%,0.7679,,,468,<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_attn_backend.csv,<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_attn_backend.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes_eager],0.7679,,,MATCH (recomputed),,
433,16,POD3,3a_pcgita_enc_nested,PAPER VALUE,paper value,0.8969,0.8322,0.9454,1100,<local data dir>/release/edaic_rerun/part16/POD3/q3o_pcgita_encoder_perlayer.csv,<local data dir>/release/edaic_rerun/part16/POD3/q3o_pcgita_encoder_perlayer.csv,custom recompute from per-clip file (own code),"mean of 5 per-repeat AUCs, POD3/q3o_pcgita_encoder_nested_oof.csv",0.8969,0.8322,0.9454,MATCH (recomputed),CI MATCH,"cited file is the per-layer csv, which does not hold this value; recomputed from the nested OOF file beside it"
437,16,POD3,3a_pcgita_llm_best_stage,RELEASED ONLY,random 10%,0.8960,0.8341,0.9463,1100,<local data dir>/release/edaic_rerun/part16/POD3/q3o_pcgita_llm_perlayer.csv,<local data dir>/release/edaic_rerun/part16/POD3/q3o_pcgita_llm_perlayer.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/POD3/q3o_pcgita_llm_perlayer.csv,,,,FOUND IN FILE,CI ends found in file,
446,16,POD4,POD4_4b_pub_zs,PAPER VALUE,paper value,0.6578,0.6033,0.7125,468,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.6578,0.6033,0.7125,MATCH (recomputed),CI MATCH,
463,16,POD4,POD4_4b_B_enc_agr,RELEASED ONLY,random 10%,0.8037,0.7452,0.8539,322,<local data dir>/release/edaic_rerun/part16/POD4/p16_pitt_paronly_enc_nested_oof.csv,<local data dir>/release/edaic_rerun/part16/POD4/p16_pitt_paronly_enc_nested_oof.csv,per-clip recompute (own Mann-Whitney),auc agreement [p_probe],0.8037,0.7452,0.8539,MATCH (recomputed),CI MATCH,
464,16,POD4,POD4_4b_A_zs_conf,RELEASED ONLY,random 10%,0.5298,0.4189,0.6386,146,<local data dir>/release/edaic_rerun/part16/POD4/p16_pitt_orig_zeroshot_scores.csv,<local data dir>/release/edaic_rerun/part16/POD4/p16_pitt_orig_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc conflict [p_yes],0.5298,0.4189,0.6386,MATCH (recomputed),CI MATCH,
468,16,POD4,POD4_4a_nv_5f_before,PAPER VALUE,paper value,0.7977,0.7248,0.8611,1270,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_neurovoz.csv,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_neurovoz.csv,per-clip recompute (own Mann-Whitney),auc all [fivefeat_oof_before],0.7977,0.7248,0.8611,MATCH (recomputed),CI MATCH,
469,16,POD4,POD4_4a_nv_5f_after,PAPER VALUE,paper value,0.6025,0.5479,0.6580,1270,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_neurovoz.csv,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_neurovoz.csv,per-clip recompute (own Mann-Whitney),auc all [fivefeat_oof_after],0.6025,0.5479,0.6580,MATCH (recomputed),CI MATCH,
470,16,POD4,POD4_4a_nv_accept,PAPER VALUE,paper value,FAILED_0.6025,,,1270,<local data dir>/release/edaic_rerun/part16/POD4/featprobe_nv.json,<local data dir>/release/edaic_rerun/part16/POD4/featprobe_nv.json,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/POD4/featprobe_nv.json,,,,FOUND IN FILE,,numeric part of FAILED_0.6025 checked
475,16,POD4,POD4_4a_nv_cen_before,PAPER VALUE,paper value,0.7782,0.7109,0.8396,1270,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_neurovoz.csv,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_neurovoz.csv,per-clip recompute (own Mann-Whitney),dirfree all [centroid_before],0.7782,0.7109,0.8396,MATCH (recomputed),CI MATCH,
481,16,POD4,POD4_4a_nv_zs_before,PAPER VALUE,paper value,0.7108,0.6523,0.7671,1270,<local data dir>/release/edaic_rerun/part16/POD4/p16_nv_before_zeroshot_scores.csv,<local data dir>/release/edaic_rerun/part16/POD4/p16_nv_before_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.7108,0.6523,0.7671,MATCH (recomputed),CI MATCH,
482,16,POD4,POD4_4a_nv_enc_before,PAPER VALUE,paper value,0.9233,0.8800,0.9573,1270,<local data dir>/release/edaic_rerun/part16/POD4/p16_nv_before_enc_nested_oof.csv,<local data dir>/release/edaic_rerun/part16/POD4/p16_nv_before_enc_nested_oof.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe],0.9233,0.8800,0.9573,MATCH (recomputed),CI MATCH,
483,16,POD4,POD4_4a_pg_5f_before,PAPER VALUE,paper value,0.6657,0.5851,0.7452,1100,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,per-clip recompute (own Mann-Whitney),auc all [fivefeat_oof_before],0.6657,0.5851,0.7452,MATCH (recomputed),CI MATCH,
484,16,POD4,POD4_4a_pg_5f_after,PAPER VALUE,paper value,0.5590,0.4922,0.6213,1100,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,per-clip recompute (own Mann-Whitney),auc all [fivefeat_oof_after],0.5590,0.4922,0.6213,MATCH (recomputed),CI MATCH,
485,16,POD4,POD4_4a_pg_accept,PAPER VALUE,paper value,PASSED_0.5590,,,1100,<local data dir>/release/edaic_rerun/part16/POD4/featprobe_pg.json,<local data dir>/release/edaic_rerun/part16/POD4/featprobe_pg.json,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/POD4/featprobe_pg.json,,,,FOUND IN FILE,,numeric part of PASSED_0.5590 checked
495,16,POD4,POD4_4a_pg_tilt_after,SUPPORT,random 10%,0.5526,0.4987,0.6030,1100,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,per-clip recompute (own Mann-Whitney),dirfree all [tilt_after],0.5526,0.4987,0.6030,MATCH (recomputed),CI MATCH,
498,16,POD4,POD4_4a_nv_zs_after,PAPER VALUE,paper value,0.6991,0.6348,0.7598,1270,<local data dir>/release/edaic_rerun/part16/POD4/p16_nv_after_zeroshot_scores.csv,<local data dir>/release/edaic_rerun/part16/POD4/p16_nv_after_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.6991,0.6348,0.7598,MATCH (recomputed),CI MATCH,
499,16,POD4,POD4_4a_nv_enc_after,PAPER VALUE,paper value,0.8924,0.8481,0.9323,1270,<local data dir>/release/edaic_rerun/part16/POD4/p16_nv_after_enc_nested_oof.csv,<local data dir>/release/edaic_rerun/part16/POD4/p16_nv_after_enc_nested_oof.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe],0.8924,0.8481,0.9323,MATCH (recomputed),CI MATCH,
500,16,POD4,POD4_4a_nv_pd_zs,PAPER VALUE,paper value,-0.0117,-0.0332,+0.0098,1270,<local data dir>/release/edaic_rerun/part16/POD4/boot4a_nv.json,<local data dir>/release/edaic_rerun/part16/POD4/boot4a_nv.json,custom recompute from per-clip file (own code),"AUC(after) minus AUC(before), p_yes, paired, n=1270",-0.0117,-0.0332,0.0098,MATCH (recomputed),CI MATCH,
501,16,POD4,POD4_4a_nv_pd_enc,PAPER VALUE,paper value,-0.0308,-0.0608,-0.0012,1270,<local data dir>/release/edaic_rerun/part16/POD4/boot4a_nv.json,<local data dir>/release/edaic_rerun/part16/POD4/boot4a_nv.json,custom recompute from per-clip file (own code),"AUC(after) minus AUC(before), p_probe, paired, n=1270",-0.0308,-0.0608,-0.0012,MATCH (recomputed),CI MATCH,
502,16,POD4,POD4_4a_pg_enc_before,PAPER VALUE,paper value,0.8959,0.8339,0.9448,1100,<local data dir>/release/edaic_rerun/part16/POD4/p16_pg_before_enc_nested_oof.csv,<local data dir>/release/edaic_rerun/part16/POD4/p16_pg_before_enc_nested_oof.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe],0.8959,0.8339,0.9448,MATCH (recomputed),CI MATCH,
503,16,POD4,POD4_4a_pg_zs_before,PAPER VALUE,paper value,0.5728,0.5002,0.6440,1100,<local data dir>/release/edaic_rerun/part16/POD4/p16_pg_before_zeroshot_scores.csv,<local data dir>/release/edaic_rerun/part16/POD4/p16_pg_before_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.5728,0.5002,0.6440,MATCH (recomputed),CI MATCH,
504,16,POD4,POD4_4a_pg_zs_after,PAPER VALUE,paper value,0.5674,0.5054,0.6304,1100,<local data dir>/release/edaic_rerun/part16/POD4/p16_pg_after_zeroshot_scores.csv,<local data dir>/release/edaic_rerun/part16/POD4/p16_pg_after_zeroshot_scores.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes],0.5674,0.5054,0.6304,MATCH (recomputed),CI MATCH,
505,16,POD4,POD4_4a_pg_enc_after,PAPER VALUE,paper value,0.8298,0.7546,0.8968,1100,<local data dir>/release/edaic_rerun/part16/POD4/p16_pg_after_enc_nested_oof.csv,<local data dir>/release/edaic_rerun/part16/POD4/p16_pg_after_enc_nested_oof.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe],0.8298,0.7546,0.8968,MATCH (recomputed),CI MATCH,
506,16,POD4,POD4_4a_pg_pd_zs,PAPER VALUE,paper value,-0.0054,-0.0437,+0.0357,1100,<local data dir>/release/edaic_rerun/part16/POD4/boot4a_pg.json,<local data dir>/release/edaic_rerun/part16/POD4/boot4a_pg.json,custom recompute from per-clip file (own code),"AUC(after) minus AUC(before), p_yes, paired, n=1100",-0.0054,-0.0437,0.0357,MATCH (recomputed),CI MATCH,
507,16,POD4,POD4_4a_pg_pd_enc,PAPER VALUE,paper value,-0.0661,-0.1181,-0.0180,1100,<local data dir>/release/edaic_rerun/part16/POD4/boot4a_pg.json,<local data dir>/release/edaic_rerun/part16/POD4/boot4a_pg.json,custom recompute from per-clip file (own code),"AUC(after) minus AUC(before), p_probe, paired, n=1100",-0.0661,-0.1181,-0.0180,MATCH (recomputed),CI MATCH,
514,16,POD4B,4b_adress2020_published_zs,PAPER VALUE,paper value,0.6241,0.5348,0.7148,156,out/adress2020_no_interviewer.csv,<local data dir>/release/edaic_rerun/part16/POD4B/out/adress2020_no_interviewer.csv,per-clip recompute (own Mann-Whitney),auc all [p_yes_published],0.6241,0.5348,0.7148,MATCH (recomputed),CI MATCH,
523,16,POD4B,4b_adress2020_gap_B_paronly,RELEASED ONLY,random 10%,0.1118,0.0020,0.2144,156,out/adress2020_no_interviewer.csv,<local data dir>/release/edaic_rerun/part16/POD4B/out/adress2020_no_interviewer.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe_B] MINUS auc all [p_yes_B],0.1118,0.0020,0.2144,MATCH (recomputed),CI MATCH,
524,16,POD4B,4b_adress2020_gap_C_durmatch,RELEASED ONLY,random 10%,0.1762,0.0739,0.2792,156,out/adress2020_no_interviewer.csv,<local data dir>/release/edaic_rerun/part16/POD4B/out/adress2020_no_interviewer.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe_C] MINUS auc all [p_yes_C],0.1762,0.0739,0.2792,MATCH (recomputed),CI MATCH,
533,16,POD4B,4b_adresso_A_orig_enc,RELEASED ONLY,random 10%,0.8624,0.8063,0.9155,161,out/adresso_no_interviewer.csv,<local data dir>/release/edaic_rerun/part16/POD4B/out/adresso_no_interviewer.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe_A],0.8624,0.8063,0.9155,MATCH (recomputed),CI MATCH,
544,16,POD4B,4b_adresso_paired_enc_A_to_C,RELEASED ONLY,random 10%,0.0103,-0.0128,0.0326,161,out/adresso_no_interviewer.csv,<local data dir>/release/edaic_rerun/part16/POD4B/out/adresso_no_interviewer.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe_C] MINUS auc all [p_probe_A],0.0103,-0.0128,0.0326,MATCH (recomputed),CI MATCH,
549,16,POD4B,4b_adresso_gap_published,RELEASED ONLY,random 10%,0.2726,0.1783,0.3674,161,out/adresso_no_interviewer.csv,<local data dir>/release/edaic_rerun/part16/POD4B/out/adresso_no_interviewer.csv,per-clip recompute (own Mann-Whitney),auc all [p_probe_published] MINUS auc all [p_yes_published],0.2726,0.1783,0.3674,MATCH (recomputed),CI MATCH,
556,16,Q3Ofix,3b_fix#01:Qwen3_Omni_Pitt_all_probe,PAPER VALUE,paper value,0.8307,0.7833,0.8741,468,part16/pod_sync/q3o_perp_cols.npz,<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_perp_cols.npz,per-clip recompute (own Mann-Whitney),auc all [oof],0.8307,0.7833,0.8741,MATCH (recomputed),CI MATCH,
557,16,Q3Ofix,3b_fix#02:Qwen3_Omni_Pitt_all_along_readout_direction,PAPER VALUE,paper value,0.7656,0.7088,0.8179,468,part16/pod_sync/q3o_perp_cols.npz,<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_perp_cols.npz,per-clip recompute (own Mann-Whitney),auc all [proj_d],0.7656,0.7088,0.8179,MATCH (recomputed),CI MATCH,
558,16,Q3Ofix,3b_fix#03:Qwen3_Omni_Pitt_all_probe_minus_readout_dir_CANONICAL,PAPER VALUE,paper value,0.8276,0.7795,0.8696,468,part16/pod_sync/q3o_perp_cols.npz,<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_perp_cols.npz,per-clip recompute (own Mann-Whitney),auc all [perp_z],0.8276,0.7795,0.8696,MATCH (recomputed),CI MATCH,
559,16,Q3Ofix,3b_fix#04:Qwen3_Omni_Pitt_conflict_probe,PAPER VALUE,paper value,0.6394,0.5323,0.7418,146,part16/pod_sync/q3o_perp_cols.npz,<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_perp_cols.npz,per-clip recompute (own Mann-Whitney),auc conflict [oof],0.6394,0.5323,0.7418,MATCH (recomputed),CI MATCH,
560,16,Q3Ofix,3b_fix#05:Qwen3_Omni_Pitt_conflict_along_readout_direction,PAPER VALUE,paper value,0.6029,0.4965,0.7025,146,part16/pod_sync/q3o_perp_cols.npz,<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_perp_cols.npz,per-clip recompute (own Mann-Whitney),auc conflict [proj_d],0.6029,0.4965,0.7025,MATCH (recomputed),CI MATCH,
561,16,Q3Ofix,3b_fix#06:Qwen3_Omni_Pitt_conflict_probe_minus_readout_dir_CANONICAL,PAPER VALUE,paper value,0.6532,0.5483,0.7527,146,part16/pod_sync/q3o_perp_cols.npz,<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_perp_cols.npz,per-clip recompute (own Mann-Whitney),auc conflict [perp_z],0.6532,0.5483,0.7527,MATCH (recomputed),CI MATCH,
562,16,Q3Ofix,3b_fix#07:Qwen3_Omni_Pitt_agreement_probe,PAPER VALUE,paper value,0.9032,0.8626,0.9374,322,part16/pod_sync/q3o_perp_cols.npz,<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_perp_cols.npz,per-clip recompute (own Mann-Whitney),auc agreement [oof],0.9032,0.8626,0.9374,MATCH (recomputed),CI MATCH,
563,16,Q3Ofix,3b_fix#08:Qwen3_Omni_Pitt_agreement_along_readout_direction,PAPER VALUE,paper value,0.8264,0.7741,0.8731,322,part16/pod_sync/q3o_perp_cols.npz,<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_perp_cols.npz,per-clip recompute (own Mann-Whitney),auc agreement [proj_d],0.8264,0.7741,0.8731,MATCH (recomputed),CI MATCH,
564,16,Q3Ofix,3b_fix#09:Qwen3_Omni_Pitt_agreement_probe_minus_readout_dir_CANONICAL,PAPER VALUE,paper value,0.8937,0.8522,0.9312,322,part16/pod_sync/q3o_perp_cols.npz,<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_perp_cols.npz,per-clip recompute (own Mann-Whitney),auc agreement [perp_z],0.8937,0.8522,0.9312,MATCH (recomputed),CI MATCH,
566,16,SEED,SEED02_1a,PAPER VALUE,paper value,0.1498,0.1131,0.1887,483,part15/B_text_conflict.csv,<local data dir>/release/edaic_rerun/part15/B_text_conflict.csv,custom recompute from per-clip file (own code),"transcript p_yes_text AUC, conflict arm, p14_o25_1a_joined.csv, n=483",0.1498,0.1131,0.1887,MATCH (recomputed),CI MATCH,cited file is the Part 15 summary; recomputed from the Part 16 joined per-clip file
569,16,SEED,SEED05_1a,PAPER VALUE,paper value,0.2359,0.1851,0.2886,483,part15/B_text_conflict.csv,<local data dir>/release/edaic_rerun/part15/B_text_conflict.csv,custom recompute from per-clip file (own code),"transcript p_yes_text AUC, conflict arm, p14_q2a_1a_joined.csv, n=483",0.2359,0.1851,0.2886,MATCH (recomputed),CI MATCH,cited file is the Part 15 summary; recomputed from the Part 16 joined per-clip file
571,16,SEED,SEED07_1a,PAPER VALUE,paper value,0.8442,,,966,part15/B_text_conflict.json,<local data dir>/release/edaic_rerun/part15/B_text_conflict.json,custom recompute from per-clip file (own code),pearson_text_audio over 966 rows of p14_o25_1a_joined.csv,0.8442,,,MATCH (recomputed),,cited file for the SEED row (B_text_conflict.json) does not hold this number
572,16,SEED,SEED08_1a,PAPER VALUE,paper value,0.8634,,,966,part15/B_text_conflict.json,<local data dir>/release/edaic_rerun/part15/B_text_conflict.json,custom recompute from per-clip file (own code),same_decision over 966 rows of p14_o25_1a_joined.csv,0.8634,,,MATCH (recomputed),,cited file for the SEED row (B_text_conflict.json) does not hold this number
573,16,SEED,SEED09_3a,PAPER VALUE,paper value,0.8122,,,468,part16/pod_sync/q3o_pitt_nested_repeats.json,<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_pitt_nested_repeats.json,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_pitt_nested_repeats.json,,,,FOUND IN FILE,,
578,16,SEED,SEED14_3b,PAPER VALUE,paper value,0.0051,,,468,part16/pod_sync/readout_direction_q3o.csv,<local data dir>/release/edaic_rerun/part16/pod_sync/readout_direction_q3o.csv,lookup in cited summary file,<local data dir>/release/edaic_rerun/part16/pod_sync/readout_direction_q3o.csv,,,,FOUND IN FILE,,
