order_group,line,context,paper_value,file_value,file_path,estimator,status,reason,item_id,kind,section,value_key,value_status,value_row,method_constant,in_comment
added_23sep,132,E-DAIC | Zero-shot Audio :: E-DAIC & 275 (275) & 0.83 & 0.82 & 0.64,0.83,0.8285,<local data dir>/release/edaic_rerun/variants/o25_full_zeroshot.json,"zero shot, full stitched participant audio capped at 900 s, 89 of 275 capped, median window 591.8 s, E-DAIC 275 speakers",MATCH,"context [model=Qwen2.5-Omni; data=edaic_full/edaic/edaic_mid300/edaic_mid30; stream=zero_shot; arm=all]; tier current; same-tier values that round differently: 0.662 (edaic E-DAIC (first 30 s, omni_final) Qwen2.5-, current), 0.662 (edaic Omni zero-shot answer AUC, 30 s window, current), 0.662 (edaic Qwen2.5-Omni zero-shot answer AUC, FIRST, current), 0.662 (edaic Qwen2.5-Omni zero-shot audio answer AUC,, current)",L132_27,point,Experimental Results,Qwen2.5-Omni|edaic_full|zero_shot|all,current,master_lookup.csv:200,no,no
added_23sep,132,E-DAIC | Zero-shot Text :: E-DAIC & 275 (275) & 0.83 & 0.82 & 0.64,0.82,0.823,<local data dir>/release/overnight2/text_new/o25_edaicfull_text.json,"text only, one documented prompt",MATCH,"context [model=Qwen2.5-Omni; data=edaic_full/edaic/edaic_mid300/edaic_mid30; stream=transcript; arm=all]; tier current; same-tier values that round differently: 0.6613 (edaic text only, one documented prompt (30 s t, current), 0.6613 (edaic text only, one documented prompt, current)",L132_34,point,Experimental Results,Qwen2.5-Omni|edaic_full|transcript|all,current,master_lookup.csv:105,no,no
added_23sep,132,E-DAIC | Fine-tuned Audio :: E-DAIC & 275 (275) & 0.83 & 0.82 & 0.64,0.64,0.6421,<local data dir>/release/edaic_rerun/variants/sft_full_sft.json,"projector only fine tune, 5 fold out of fold AUC, 3 epochs, lr 1e-4, clip list mf_full.csv (full window capped at 900 s), E-DAIC 275 speakers [sidecar window_seconds reads 30 for all three variants, s",MATCH,"context [model=Qwen2.5-Omni; data=edaic_full/edaic/edaic_mid300/edaic_mid30; stream=projector_ft; arm=all]; tier current; same-tier values that round differently: 0.6083 (edaic projector fine-tune OOF AUC, current), 0.6083 (edaic projector only fine tune, 5 fold out of , current), 0.6083 (edaic projector only, 5 folds, 3 epochs, lr 0., current), 0.6595 (edaic_mid300 projector fine-tune, 5 speaker-disjoint , current)",L132_41,point,Experimental Results,Qwen2.5-Omni|edaic_full|projector_ft|all,current,master_lookup.csv:205,no,no
added_23sep,135,Pitt | Clips (speakers) [clips] :: Pitt & 468 (228) & 0.66 & 0.66 & 0.77,468,468,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,"projector only fine tune, 5 fold OOF, rank AUC recomputed here",MATCH,count: 256 index rows for pitt carry n = 468 (e.g. handcheck_values.csv:12),L135_15,integer,Experimental Results,Qwen2.5-Omni|pitt|projector_ft|all,current,handcheck_values.csv:12,no,no
added_23sep,135,Pitt | Clips (speakers) [speakers] :: Pitt & 468 (228) & 0.66 & 0.66 & 0.77,228,228,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,"projector only fine tune, 5 fold OOF, rank AUC recomputed here",MATCH,count: 260 index rows for pitt carry n_spk/n = 228 (e.g. handcheck_values.csv:12),L135_20,integer,Experimental Results,Qwen2.5-Omni|pitt|projector_ft|all,current,handcheck_values.csv:12,no,no
added_23sep,135,Pitt | Zero-shot Audio :: Pitt & 468 (228) & 0.66 & 0.66 & 0.77,0.66,0.6578,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,"zero shot answer, rank AUC recomputed here from per-clip p_yes",MATCH,"context [model=Qwen2.5-Omni; data=pitt; stream=zero_shot; arm=all]; tier current; same-tier values that round differently: 0.6145 (pitt Pitt arm C duration-matched WITH intervi, current), 0.6497 (pitt Pitt arm A original cut, Omni zero-shot , current), 0.6665 (pitt zero shot answer, current), 0.723 (pitt Pitt arm B interviewer removed PAR-only,, current)",L135_27,point,Experimental Results,Qwen2.5-Omni|pitt|zero_shot|all,current,handcheck_values.csv:126,no,no
added_23sep,135,Pitt | Zero-shot Text :: Pitt & 468 (228) & 0.66 & 0.66 & 0.77,0.66,0.6629,<local data dir>/release/overnight2/text_new/o25_pitt_text.csv,"text only, Run B (pod /workspace/text_score.py, file mtime Sep 20), rank AUC recomputed here; arms joined from Run A 'set' by id",MATCH,"context [model=Qwen2.5-Omni; data=pitt; stream=transcript; arm=all]; tier CONTESTED; same-tier values that round differently: 0.6975 (pitt Pitt Qwen2.5-Omni transcript-only answer, CONTESTED), 0.6975 (pitt text only, Run A (local MPS, file mtime , CONTESTED); NOTE S5: two Omni Pitt transcript runs disagree: Run A Sep 15 local 0.6975 (bootstrap tables, M1 headline) vs Run B Sep 20 pod 0.6629 (master_lookup, table1_omni25); cause not established",L135_34,point,Experimental Results,Qwen2.5-Omni|pitt|transcript|all,CONTESTED,handcheck_values.csv:3,no,no
added_23sep,135,Pitt | Fine-tuned Audio :: Pitt & 468 (228) & 0.66 & 0.66 & 0.77,0.77,0.7673,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,"projector only fine tune, 5 fold OOF, rank AUC recomputed here",MATCH,context [model=Qwen2.5-Omni; data=pitt; stream=projector_ft; arm=all]; tier current,L135_41,point,Experimental Results,Qwen2.5-Omni|pitt|projector_ft|all,current,handcheck_values.csv:12,no,no
added_23sep,136,ADReSSo | Clips (speakers) [clips] :: ADReSSo & 237 (237) & 0.62 & 0.55 & 0.82,237,237,<local data dir>/release/overnight/perclip/egemaps_adresso_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.6942)",MATCH,count: 78 index rows for adresso carry n = 237 (e.g. handcheck_values.csv:27),L136_15,integer,Experimental Results,eGeMAPS|adresso|egemaps|all,current,handcheck_values.csv:27,no,no
added_23sep,136,ADReSSo | Clips (speakers) [speakers] :: ADReSSo & 237 (237) & 0.62 & 0.55 & 0.82,237,237,<local data dir>/release/overnight/perclip/egemaps_adresso_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.6942)",MATCH,count: 78 index rows for adresso carry n_spk/n = 237 (e.g. handcheck_values.csv:27),L136_20,integer,Experimental Results,eGeMAPS|adresso|egemaps|all,current,handcheck_values.csv:27,no,no
added_23sep,136,ADReSSo | Zero-shot Audio :: ADReSSo & 237 (237) & 0.62 & 0.55 & 0.82,0.62,0.615,<local data dir>/release/omni_final/omni_adresso_zeroshot_scores.csv,"zero shot answer, rank AUC recomputed here from per-clip p_yes",MATCH,"context [model=Qwen2.5-Omni; data=adresso; stream=zero_shot; arm=all]; tier current; same-tier values that round differently: 0.6083 (adresso adresso arm C_durmatch Omni zero-shot AU, current), 0.6291 (adresso adresso arm A_orig Omni zero-shot AUC, current), 0.6302 (adresso adresso arm B_paronly Omni zero-shot AUC, current), 0.632 (adresso adresso arm published Omni zero-shot AUC, current)",L136_27,point,Experimental Results,Qwen2.5-Omni|adresso|zero_shot|all,current,handcheck_values.csv:127,no,no
added_23sep,136,ADReSSo | Zero-shot Text :: ADReSSo & 237 (237) & 0.62 & 0.55 & 0.82,0.55,0.5542,<local data dir>/release/overnight2/text_new/o25_adresso_text.json,"text only, one documented prompt",MATCH,context [model=Qwen2.5-Omni; data=adresso; stream=transcript; arm=all]; tier current,L136_34,point,Experimental Results,Qwen2.5-Omni|adresso|transcript|all,current,master_lookup.csv:90,no,no
added_23sep,136,ADReSSo | Fine-tuned Audio :: ADReSSo & 237 (237) & 0.62 & 0.55 & 0.82,0.82,0.8246,<local data dir>/release/omni_final/omnisft_adresso_sft.json,"projector only, 5 folds, 3 epochs, lr 0.0001, json auc_oof",MATCH,context [model=Qwen2.5-Omni; data=adresso; stream=projector_ft; arm=all]; tier current,L136_41,point,Experimental Results,Qwen2.5-Omni|adresso|projector_ft|all,current,omnisft_adresso_sft.json,no,no
added_23sep,137,ADReSS-2020 | Clips (speakers) [clips] :: ADReSS-2020 & 156 (156) & 0.62 & 0.75 & 0.77,156,156,<local data dir>/release/overnight2/text_new/o25_adress2020_text.csv,"text only, pod run Sep 20 (o25_adress2020_text.csv), rank AUC recomputed here",MATCH,count: 105 index rows for adress2020 carry n = 156 (e.g. handcheck_values.csv:8),L137_15,integer,Experimental Results,Qwen2.5-Omni|adress2020|transcript|all,current,handcheck_values.csv:8,no,no
added_23sep,137,ADReSS-2020 | Clips (speakers) [speakers] :: ADReSS-2020 & 156 (156) & 0.62 & 0.75 & 0.77,156,156,<local data dir>/release/overnight2/text_new/o25_adress2020_text.csv,"text only, pod run Sep 20 (o25_adress2020_text.csv), rank AUC recomputed here",MATCH,count: 105 index rows for adress2020 carry n_spk/n = 156 (e.g. handcheck_values.csv:8),L137_20,integer,Experimental Results,Qwen2.5-Omni|adress2020|transcript|all,current,handcheck_values.csv:8,no,no
added_23sep,137,ADReSS-2020 | Zero-shot Audio :: ADReSS-2020 & 156 (156) & 0.62 & 0.75 & 0.77,0.62,0.6241,<local data dir>/release/omni_final/omni_adress2020_zeroshot_scores.csv,"zero shot answer, rank AUC recomputed here from per-clip p_yes",MATCH,"context [model=Qwen2.5-Omni; data=adress2020; stream=zero_shot; arm=all]; tier current; same-tier values that round differently: 0.6272 (adress2020 adress2020 arm A_orig Omni zero-shot AUC, current), 0.6313 (adress2020 adress2020 arm C_durmatch Omni zero-shot, current), 0.6524 (adress2020 adress2020 arm B_paronly Omni zero-shot , current)",L137_27,point,Experimental Results,Qwen2.5-Omni|adress2020|zero_shot|all,current,handcheck_values.csv:128,no,no
added_23sep,137,ADReSS-2020 | Zero-shot Text :: ADReSS-2020 & 156 (156) & 0.62 & 0.75 & 0.77,0.75,0.7538,<local data dir>/release/overnight2/text_new/o25_adress2020_text.csv,"text only, pod run Sep 20 (o25_adress2020_text.csv), rank AUC recomputed here",MATCH,"context [model=Qwen2.5-Omni; data=adress2020; stream=transcript; arm=all]; tier current; same-tier values that round differently: 0.7909 (adress2020 text only, local run Sep 15 (omni_adress, current)",L137_34,point,Experimental Results,Qwen2.5-Omni|adress2020|transcript|all,current,handcheck_values.csv:8,no,no
added_23sep,137,ADReSS-2020 | Fine-tuned Audio :: ADReSS-2020 & 156 (156) & 0.62 & 0.75 & 0.77,0.77,0.7684,<local data dir>/release/omni_final/omnisft_adress2020_sft.json,"projector only, 5 folds, 3 epochs, lr 0.0001, json auc_oof",MATCH,context [model=Qwen2.5-Omni; data=adress2020; stream=projector_ft; arm=all]; tier current,L137_41,point,Experimental Results,Qwen2.5-Omni|adress2020|projector_ft|all,current,omnisft_adress2020_sft.json,no,no
added_23sep,143,"Zero-shot, Qwen2.5-Omni stays between 0.56 and 0.71 on the Parkinson's and Alzheimer's sets, and only E-DAIC is higher (Table \reftab:main).",0.56 and 0.71,0.5635 to 0.7143,omni_adress2020_zeroshot.json ; omni_adresso_zeroshot.json ; omni_kcl_zeroshot.json ; omni_neurovoz_zeroshot.json ; omni_pcgita_zeroshot.json ; omni_pitt_zeroshot.json,"Qwen2.5-Omni zero_shot, PD+AD",MATCH,"range matches SET 'Qwen2.5-Omni zero_shot, PD+AD': min 0.5635 (pcgita) max 0.7143 (kcl); members: pcgita 0.5635; neurovoz 0.6951; kcl 0.7143; pitt 0.6578; adresso 0.6150; adress2020 0.6241; compatible sets that do NOT match: Qwen2.5-Omni zero_shot, PD+AD without MDVR-KCL gives 0.56 to 0.70",L143_160,range,Audio LLM performance,,,,no,no
added_23sep,145,"Qwen3-Omni and Audio Flamingo 3 reach 0.87 and 0.86 on the same interviews, while Qwen2-Audio, which hears 30 s, stays at 0.63.",0.87,0.8741,<local data dir>/release/edaic_rerun/variants/q3o_full_zeroshot.json,"zero shot, full stitched participant audio capped at 900 s, 89 of 275 capped, median window 591.8 s, E-DAIC 275 speakers",MATCH,"context [model=Qwen3-Omni; data=edaic_full/edaic/edaic_mid300/edaic_mid30; stream=zero_shot; arm=all; respectively mapping, stream from previous sentence]; tier current; same-tier values that round differently: 0.629 (edaic zero shot answer, rank AUC recomputed he, current), 0.629 (edaic zero shot, 30 s window, current), 0.7153 (edaic_mid30 zero shot answer, current), 0.7153 (edaic_mid30 zero shot, mid-recording 30 s window fro, current)",L145_433,point,Audio LLM performance,Qwen3-Omni|edaic_full|zero_shot|all,current,master_lookup.csv:207,no,no
added_23sep,145,"Qwen3-Omni and Audio Flamingo 3 reach 0.87 and 0.86 on the same interviews, while Qwen2-Audio, which hears 30 s, stays at 0.63.",0.86,0.8565,<local data dir>/release/edaic_rerun/variants/af3_full.json,"zero shot, full stitched participant audio capped at 900 s, 89 of 275 capped, median window 591.8 s, E-DAIC 275 speakers",MATCH,"context [model=Audio Flamingo 3; data=edaic_full/edaic/edaic_mid300/edaic_mid30; stream=zero_shot; arm=all; respectively mapping, stream from previous sentence]; tier current; same-tier values that round differently: 0.5975 (edaic zero shot, 30 s window, current), 0.6949 (edaic_mid30 zero shot answer, current), 0.6949 (edaic_mid30 zero shot, mid-recording 30 s window fro, current), 0.8374 (edaic_mid300 zero shot answer, current)",L145_442,point,Audio LLM performance,Audio Flamingo 3|edaic_full|zero_shot|all,current,master_lookup.csv:208,no,no
added_23sep,145,"Qwen3-Omni and Audio Flamingo 3 reach 0.87 and 0.86 on the same interviews, while Qwen2-Audio, which hears 30 s, stays at 0.63.",30,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L145_502,integer,Audio LLM performance,,,,yes,no
added_23sep,145,"Qwen3-Omni and Audio Flamingo 3 reach 0.87 and 0.86 on the same interviews, while Qwen2-Audio, which hears 30 s, stays at 0.63.",0.63,0.633,<local data dir>/release/edaic_rerun/variants/q2a_full_zeroshot.json,"zero shot, full stitched participant audio capped at 900 s, 89 of 275 capped, median window 591.8 s, E-DAIC 275 speakers",MATCH,"context [model=Qwen2-Audio; data=edaic_full/edaic/edaic_mid300/edaic_mid30; stream=zero_shot; arm=all; stream from previous sentence]; tier current; same-tier values that round differently: 0.6464 (edaic zero shot answer, rank AUC recomputed he, current), 0.6464 (edaic zero shot, current), 0.6891 (edaic_mid30 zero shot answer, current), 0.6891 (edaic_mid30 zero shot, mid-recording 30 s window fro, current)",L145_518,point,Audio LLM performance,Qwen2-Audio|edaic_full|zero_shot|all,current,master_lookup.csv:206,no,no
added_23sep,154,"The best probe achieves an AUC of 0.75 to 0.92 on the Parkinson's sets and 0.77 on the Pitt dataset, far above the model's own answers on the same clips (Fig. \reffig:gap).",0.75 to 0.92,0.7506 to 0.9213,omni_kcl_nested_repeats.json ; omni_neurovoz_nested_repeats.json ; omni_pcgita_nested_repeats.json,"Qwen2.5-Omni encoder_probe, PD",MATCH,"range matches SET 'Qwen2.5-Omni encoder_probe, PD': min 0.7506 (kcl) max 0.9213 (neurovoz); members: pcgita 0.8941; neurovoz 0.9213; kcl 0.7506; compatible sets that do NOT match: Qwen2.5-Omni lm_probe, PD gives 0.62 to 0.93 | Qwen2.5-Omni answer_state_probe, PD gives 0.58 to 0.89 | Qwen2.5-Omni projector_probe, PD gives 0.65 to 0.91 | Qwen2.5-Omni best probe (max over encoder/LM/answer-state/projector), PD gives 0.75 to 0.93",L154_34,range,Probing Results,,,,no,no
added_23sep,154,"The best probe achieves an AUC of 0.75 to 0.92 on the Parkinson's sets and 0.77 on the Pitt dataset, far above the model's own answers on the same clips (Fig. \reffig:gap).",0.77,0.7706,<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,"five split nested, mean of per-repeat AUCs recomputed here: 0.7598, 0.7725, 0.7459, 0.7903, 0.7843",MATCH,"context [model=Qwen2.5-Omni (default); data=pitt; stream=encoder_probe/lm_probe/answer_state_probe/projector_probe; arm=all]; tier current; same-tier values that round differently: 0.7497 (pitt Pitt arm B interviewer removed PAR-only,, current), 0.7507 (pitt five split nested, mean of 1 repeats (js, current), 0.7507 (pitt single split nested, current), 0.7631 (pitt ans_nested, outer GroupKFold(5) by speak, current)",L154_75,point,Probing Results,Qwen2.5-Omni|pitt|encoder_probe|all,current,handcheck_values.csv:111,no,no
added_23sep,154,"On all 708 Pitt segments, middle third included, the encoder probe reaches 0.80 and the zero-shot answer 0.67.",708,708,<local data dir>/release/edaic_rerun/pitt_all/o25_pitt_all_nested_repeats.json,"five split nested, mean of 5 repeats, all three text-probability tertiles kept, merged consecutive *PAR: segments >= 30 s, 708 clips / 266 speakers",MATCH,count: 11 index rows for pitt_all carry n = 708 (e.g. master_lookup.csv:212),L154_183,integer,Probing Results,Qwen2.5-Omni|pitt_all|encoder_probe|all,current,master_lookup.csv:212,no,no
added_23sep,154,"On all 708 Pitt segments, middle third included, the encoder probe reaches 0.80 and the zero-shot answer 0.67.",0.80,0.7968,<local data dir>/release/edaic_rerun/pitt_all/o25_pitt_all_nested_repeats.json,"five split nested, mean of 5 repeats, all three text-probability tertiles kept, merged consecutive *PAR: segments >= 30 s, 708 clips / 266 speakers",MATCH,context [model=Qwen2.5-Omni (default); data=pitt_all; stream=encoder_probe; arm=all]; tier current,L154_251,point,Probing Results,Qwen2.5-Omni|pitt_all|encoder_probe|all,current,master_lookup.csv:212,no,no
added_23sep,154,"On all 708 Pitt segments, middle third included, the encoder probe reaches 0.80 and the zero-shot answer 0.67.",0.67,0.6695,<local data dir>/release/edaic_rerun/pitt_all/o25_pitt_all_zeroshot.json,"zero shot, all three text-probability tertiles kept, merged consecutive *PAR: segments >= 30 s, 708 clips / 266 speakers",MATCH,context [model=Qwen2.5-Omni (default); data=pitt_all; stream=zero_shot; arm=all]; tier current,L154_281,point,Probing Results,Qwen2.5-Omni|pitt_all|zero_shot|all,current,master_lookup.csv:210,no,no
added_23sep,154,The same probes on Qwen2-Audio achieve 0.77 to 0.93 against answers of 0.54 to 0.68 on the Parkinson's and Alzheimer's sets.,0.77 to 0.93,0.7714 to 0.9324,q2a_adress2020_nested_repeats.json ; q2a_adresso_nested_repeats.json ; q2a_kcl_nested_repeats.json ; q2a_neurovoz_nested_repeats.json ; q2a_pcgita_nested_repeats.json ; q2a_pitt_nested_repeats.json,"Qwen2-Audio encoder_probe, PD+AD",MATCH,"range matches SET 'Qwen2-Audio encoder_probe, PD+AD': min 0.7714 (kcl) max 0.9324 (neurovoz); members: pcgita 0.9097; neurovoz 0.9324; kcl 0.7714; pitt 0.7846; adresso 0.8537; adress2020 0.8315; also matches: Qwen2-Audio best probe (max over encoder/LM/answer-state/projector), PD+AD; compatible sets that do NOT match: Qwen2-Audio encoder_probe, PD+AD without MDVR-KCL gives 0.78 to 0.93 | Qwen2-Audio lm_probe, PD+AD gives 0.63 to 0.89 | Qwen2-Audio lm_probe, PD+AD without MDVR-KCL gives 0.83 to 0.89 | Qwen2-Audio answer_state_probe, PD+AD gives 0.77 to 0.88",L154_326,range,Probing Results,,,,no,no
added_23sep,154,The same probes on Qwen2-Audio achieve 0.77 to 0.93 against answers of 0.54 to 0.68 on the Parkinson's and Alzheimer's sets.,0.54 to 0.68,0.5369 to 0.6824,adress2020_zeroshot_scores.csv ; adresso_zeroshot_scores.csv ; kcl_zeroshot_scores.csv ; neurovoz_zeroshot_scores.csv ; pcgita_zeroshot_scores.csv ; pitt_zeroshot_scores.csv,"Qwen2-Audio zero_shot, PD+AD",MATCH,"range matches SET 'Qwen2-Audio zero_shot, PD+AD': min 0.5369 (pcgita) max 0.6824 (adress2020); members: pcgita 0.5369; neurovoz 0.5519; kcl 0.5923; pitt 0.6173; adresso 0.6649; adress2020 0.6824; compatible sets that do NOT match: Qwen2-Audio zero_shot, PD+AD without MDVR-KCL gives 0.54 to 0.68",L154_358,range,Probing Results,,,,no,no
added_23sep,154,On Qwen3-Omni they obtain AUC scores of 0.77 to 0.94 against 0.60 to 0.78.,0.77 to 0.94,0.7661 to 0.9372,q3o_adress2020_nested_repeats.json ; q3o_adresso_nested_repeats.json ; q3o_kcl_nested_repeats.json ; q3o_neurovoz_nested_repeats.json ; q3o_pcgita_encoder_nested_oof.csv ; q3o_pitt_encoder_nested_oof.csv,"Qwen3-Omni encoder_probe, PD+AD",MATCH,"range matches SET 'Qwen3-Omni encoder_probe, PD+AD': min 0.7661 (kcl) max 0.9372 (neurovoz); members: pcgita 0.8969; neurovoz 0.9372; kcl 0.7661; pitt 0.8122; adresso 0.8750; adress2020 0.8445; compatible sets that do NOT match: Qwen3-Omni encoder_probe, PD+AD without MDVR-KCL gives 0.81 to 0.94 | Qwen3-Omni lm_probe, PD+AD gives 0.71 to 0.94 | Qwen3-Omni lm_probe, PD+AD without MDVR-KCL gives 0.85 to 0.94 | Qwen3-Omni answer_state_probe, PD+AD gives 0.69 to 0.94",L154_452,range,Probing Results,,,,no,no
added_23sep,154,On Qwen3-Omni they obtain AUC scores of 0.77 to 0.94 against 0.60 to 0.78.,0.60 to 0.78,0.5967 to 0.7774,q3o_adress2020_zeroshot.json ; q3o_adresso_zeroshot.json ; q3o_kcl_zeroshot.json ; q3o_neurovoz_zeroshot.json ; q3o_pcgita_zeroshot.json ; q3o_pitt_zeroshot.json,"Qwen3-Omni zero_shot, PD+AD",MATCH,"range matches SET 'Qwen3-Omni zero_shot, PD+AD': min 0.5967 (pcgita) max 0.7774 (adresso); members: pcgita 0.5967; neurovoz 0.6393; kcl 0.7738; pitt 0.7619; adresso 0.7774; adress2020 0.7097; compatible sets that do NOT match: Qwen3-Omni zero_shot, PD+AD without MDVR-KCL gives 0.60 to 0.78",L154_473,range,Probing Results,,,,no,no
added_23sep,154,"The encoder probe beats the eGeMAPS baseline on all seven datasets, by 0.06 on PC-GITA to 0.18 on ADReSSo.",0.06 on PC-GITA to 0.18,0.0095 to 0.1810,egemaps_adress2020_oof.csv ; egemaps_adresso_oof.csv ; egemaps_edaic_oof.csv ; egemaps_kcl_oof.csv ; egemaps_neurovoz_oof.csv ; egemaps_pcgita_oof.csv ; egemaps_pitt_oof.csv,"Qwen2.5-Omni encoder probe (5-repeat) minus eGeMAPS (Sep 18 OOF), ALL7 (E-DAIC first 30 s)",MISMATCH,"range matches only a REDUCED set 'Qwen2.5-Omni encoder probe (5-repeat) minus eGeMAPS (Sep 18 OOF), ALL7 without MDVR-KCL (E-DAIC first 30 s)' (min 0.0609 pcgita, max 0.1810 adresso); over the set the sentence names ('Qwen2.5-Omni encoder probe (5-repeat) minus eGeMAPS (Sep 18 OOF), ALL7 (E-DAIC first 30 s)') the range is 0.0095 (kcl) to 0.1810 (adresso); members of reduced set: pcgita 0.0609; neurovoz 0.0774; pitt 0.1159; adresso 0.1810; adress2020 0.0921; edaic 0.0657",L154_789,range,Probing Results,,,,no,no
added_23sep,154,"Recording features from the quietest frames separate the NeuroVoz groups at 0.87 by spectral centroid alone and PC-GITA at 0.69, so part of the Parkinson's probe may come from the recording channel.",0.87,0.865,<local data dir>/release/edaic_rerun/confounds/confound_auc.csv,"recording-only feature quiet_centroid_hz, speaker-level AUC, direction-free strength max(auc, 1-auc)",MATCH,"context [model=Qwen2.5-Omni (default); data=neurovoz; stream=confound; arm=all]; tier current; same-tier values that round differently: 0.5252 (neurovoz recording-only feature loudness_db, spea, current), 0.6724 (neurovoz recording-only feature dur_s, speaker-le, current), 0.6965 (neurovoz recording-only feature noise_floor_db, s, current), 0.7161 (neurovoz recording-only feature snr_db, speaker-l, current)",L154_902,point,Probing Results,recording|neurovoz|confound_quiet_centroid_hz|all,current,confound_auc.csv:36,no,no
added_23sep,154,"Recording features from the quietest frames separate the NeuroVoz groups at 0.87 by spectral centroid alone and PC-GITA at 0.69, so part of the Parkinson's probe may come from the recording channel.",0.69,0.6872,<local data dir>/release/edaic_rerun/confounds/confound_auc.csv,"recording-only feature noise_floor_db, speaker-level AUC, direction-free strength max(auc, 1-auc)",MATCH,"context [model=Qwen2.5-Omni (default); data=pcgita; stream=confound; arm=all]; tier current; same-tier values that round differently: 0.5712 (pcgita recording-only feature dur_s, speaker-le, current), 0.5936 (pcgita recording-only feature quiet_rolloff85_h, current), 0.5952 (pcgita recording-only feature quiet_tilt_db_per, current), 0.6024 (pcgita recording-only feature quiet_centroid_hz, current)",L154_949,point,Probing Results,recording|pcgita|confound_noise_floor_db|all,current,confound_auc.csv:42,no,no
added_23sep,154,The Alzheimer's and E-DAIC sets stay below 0.64 on every such feature.,0.64,0.6358,<local data dir>/release/edaic_rerun/confounds/confound_auc.csv,"recording-only feature noise_floor_db, speaker-level AUC, direction-free strength max(auc, 1-auc)",MATCH,"bound claim (below 0.64): max over 29 compatible values is 0.6358 (recording|adress2020|confound_noise_floor_db|all, recording-only feature noise_floor_db, speaker-level AUC, di)",L154_1068,point,Probing Results,recording|adress2020|confound_noise_floor_db|all,current,confound_auc.csv:2,no,no
added_23sep,154,Age alone separates the Pitt groups at 0.71.,0.71,0.7111,<local data dir>/DementiaBank/pitt_manifest.csv,"age alone, clip level, full",MATCH,"context [model=Qwen2.5-Omni (default); data=pitt; stream=age_alone; arm=all]; tier current; same-tier values that round differently: 0.7015 (pitt age_alone, clip level, full468 (Sep 19 a, current)",L154_1135,point,Probing Results,age|pitt|age_alone|all,current,pitt_probe_estimators.csv:10,no,no
added_23sep,154,"On the age matched clips the age alone falls to 0.39, while the encoder probe, with its layer chosen inside the training folds, reaches 0.80 and the zero-shot answer 0.65.",0.39,0.3866,<local data dir>/DementiaBank/pitt_manifest.csv,"age alone, clip level, agematched",MATCH,context [model=Qwen2.5-Omni (default); data=pitt_agematched; stream=age_alone; arm=all]; tier current,L154_1189,point,Probing Results,age|pitt_agematched|age_alone|all,current,pitt_probe_estimators.csv:12,no,no
added_23sep,154,"On the age matched clips the age alone falls to 0.39, while the encoder probe, with its layer chosen inside the training folds, reaches 0.80 and the zero-shot answer 0.65.",0.80,0.7953,<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,"encoder probe 5split nested, clip level, agematched",MATCH,context [model=Qwen2.5-Omni (default); data=pitt_agematched; stream=encoder_probe; arm=all]; tier current,L154_1277,point,Probing Results,Qwen2.5-Omni|pitt_agematched|encoder_probe|all,current,pitt_probe_estimators.csv:4,no,no
added_23sep,154,"On the age matched clips the age alone falls to 0.39, while the encoder probe, with its layer chosen inside the training folds, reaches 0.80 and the zero-shot answer 0.65.",0.65,0.654,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,"zero shot answer, clip level, agematched",MATCH,context [model=Qwen2.5-Omni (default); data=pitt_agematched; stream=zero_shot; arm=all]; tier current,L154_1307,point,Probing Results,Qwen2.5-Omni|pitt_agematched|zero_shot|all,current,pitt_probe_estimators.csv:8,no,no
added_23sep,154,"The information also survives past the audio encoder as probing the language model's representations at the audio-token positions on Alzheimer's rises to 0.80, and the answer state itself achieves 0.77.",0.80,0.8032,<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,"five split nested, mean of 5 repeats (json field llm.mean)",MATCH,"context [model=Qwen2.5-Omni (default); data=pitt/adresso/adress2020; stream=lm_probe; arm=all]; tier current; same-tier values that round differently: 0.8511 (adress2020 five split nested, mean of 5 repeats (js, current), 0.8511 (adress2020 five split nested, mean of 5 repeats, current), 0.9048 (adresso five split nested, mean of 5 repeats (js, current), 0.9048 (adresso five split nested, mean of 5 repeats, current)",L154_1467,point,Probing Results,Qwen2.5-Omni|pitt|lm_probe|all,current,handcheck_values.csv:43,no,no
