id	what	value	lo	hi	value_verified	lo_verified	hi_verified	agree_4dp	published	matches_published_4dp	n	n_speakers	file	verifier_file	closes	note
spread_agreement_n_abs_cos_above_floor_hi	partitions (of 200) whose |cosine| exceeds the random-floor 97.5 percentile 0.0480	0			0			yes			322	175	lo-pod3b-3 pod3b_gap_spread_agreement.csv	lo-pod3b-4 verify_spread_agreement.csv	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	
spread_all_wo_trainz_mean	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: mean	0.806128			0.806128			yes			468	228	lo-pod3b-7 spread_wo_all.csv	lo-pod3b-6 verify_spread_wo_all.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_all_wo_trainz_p2_5	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: p2_5	0.782600			0.782600			yes			468	228	lo-pod3b-7 spread_wo_all.csv	lo-pod3b-6 verify_spread_wo_all.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_all_wo_trainz_p97_5	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: p97_5	0.827978			0.827978			yes			468	228	lo-pod3b-7 spread_wo_all.csv	lo-pod3b-6 verify_spread_wo_all.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_all_wo_trainz_min	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: min	0.777257			0.777257			yes			468	228	lo-pod3b-7 spread_wo_all.csv	lo-pod3b-6 verify_spread_wo_all.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_all_wo_trainz_max	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: max	0.841844			0.841844			yes			468	228	lo-pod3b-7 spread_wo_all.csv	lo-pod3b-6 verify_spread_wo_all.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_all_wo_trainz_n_at_or_above_published	partitions (of 200) with d-removed AUC at or above the POD3-split value 0.8305	3			3			yes			468	228	lo-pod3b-7 spread_wo_all.csv	lo-pod3b-6 verify_spread_wo_all.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_all_probe_minus_wo_trainz_mean	probe AUC minus d-removed AUC, mean over the 200 partitions	-0.002866	-0.0099	0.0020	-0.002866	-0.0099	0.0020	yes			468	228	lo-pod3b-7 spread_wo_all.csv	lo-pod3b-6 verify_spread_wo_all.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	lo/hi here are the 2.5/97.5 percentiles across partitions, not a bootstrap
spread_all_wo_foldz_mean	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: mean	0.799831			0.799831			yes			468	228	lo-pod3b-7 spread_wo_all.csv	lo-pod3b-6 verify_spread_wo_all.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_all_wo_foldz_p2_5	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: p2_5	0.773607			0.773607			yes			468	228	lo-pod3b-7 spread_wo_all.csv	lo-pod3b-6 verify_spread_wo_all.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_all_wo_foldz_p97_5	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: p97_5	0.827121			0.827121			yes			468	228	lo-pod3b-7 spread_wo_all.csv	lo-pod3b-6 verify_spread_wo_all.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_all_wo_foldz_min	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: min	0.751007			0.751007			yes			468	228	lo-pod3b-7 spread_wo_all.csv	lo-pod3b-6 verify_spread_wo_all.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_all_wo_foldz_max	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: max	0.832274			0.832274			yes			468	228	lo-pod3b-7 spread_wo_all.csv	lo-pod3b-6 verify_spread_wo_all.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_all_wo_foldz_n_at_or_above_published	partitions (of 200) with d-removed AUC at or above the POD3-split value 0.8276	4			4			yes			468	228	lo-pod3b-7 spread_wo_all.csv	lo-pod3b-6 verify_spread_wo_all.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_all_probe_minus_wo_foldz_mean	probe AUC minus d-removed AUC, mean over the 200 partitions	0.003431	-0.0084	0.0189	0.003431	-0.0084	0.0189	yes			468	228	lo-pod3b-7 spread_wo_all.csv	lo-pod3b-6 verify_spread_wo_all.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	lo/hi here are the 2.5/97.5 percentiles across partitions, not a bootstrap
spread_conflict_wo_trainz_mean	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: mean	0.589328			0.589328			yes			146	100	lo-pod3b-7 spread_wo_conflict.csv	lo-pod3b-6 verify_spread_wo_conflict.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_conflict_wo_trainz_p2_5	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: p2_5	0.518586			0.518586			yes			146	100	lo-pod3b-7 spread_wo_conflict.csv	lo-pod3b-6 verify_spread_wo_conflict.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_conflict_wo_trainz_p97_5	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: p97_5	0.648251			0.648251			yes			146	100	lo-pod3b-7 spread_wo_conflict.csv	lo-pod3b-6 verify_spread_wo_conflict.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_conflict_wo_trainz_min	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: min	0.496370			0.496370			yes			146	100	lo-pod3b-7 spread_wo_conflict.csv	lo-pod3b-6 verify_spread_wo_conflict.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_conflict_wo_trainz_max	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: max	0.660066			0.660066			yes			146	100	lo-pod3b-7 spread_wo_conflict.csv	lo-pod3b-6 verify_spread_wo_conflict.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_conflict_wo_trainz_n_at_or_above_published	partitions (of 200) with d-removed AUC at or above the POD3-split value 0.6196	41			41			yes			146	100	lo-pod3b-7 spread_wo_conflict.csv	lo-pod3b-6 verify_spread_wo_conflict.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_conflict_probe_minus_wo_trainz_mean	probe AUC minus d-removed AUC, mean over the 200 partitions	-0.011058	-0.0284	-0.0011	-0.011058	-0.0284	-0.0011	yes			146	100	lo-pod3b-7 spread_wo_conflict.csv	lo-pod3b-6 verify_spread_wo_conflict.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	lo/hi here are the 2.5/97.5 percentiles across partitions, not a bootstrap
spread_conflict_wo_foldz_mean	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: mean	0.583414			0.583414			yes			146	100	lo-pod3b-7 spread_wo_conflict.csv	lo-pod3b-6 verify_spread_wo_conflict.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_conflict_wo_foldz_p2_5	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: p2_5	0.509444			0.509444			yes			146	100	lo-pod3b-7 spread_wo_conflict.csv	lo-pod3b-6 verify_spread_wo_conflict.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_conflict_wo_foldz_p97_5	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: p97_5	0.643025			0.643025			yes			146	100	lo-pod3b-7 spread_wo_conflict.csv	lo-pod3b-6 verify_spread_wo_conflict.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_conflict_wo_foldz_min	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: min	0.447305			0.447305			yes			146	100	lo-pod3b-7 spread_wo_conflict.csv	lo-pod3b-6 verify_spread_wo_conflict.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_conflict_wo_foldz_max	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: max	0.659186			0.659186			yes			146	100	lo-pod3b-7 spread_wo_conflict.csv	lo-pod3b-6 verify_spread_wo_conflict.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_conflict_wo_foldz_n_at_or_above_published	partitions (of 200) with d-removed AUC at or above the POD3-split value 0.6158	40			40			yes			146	100	lo-pod3b-7 spread_wo_conflict.csv	lo-pod3b-6 verify_spread_wo_conflict.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_conflict_probe_minus_wo_foldz_mean	probe AUC minus d-removed AUC, mean over the 200 partitions	-0.005144	-0.0379	0.0218	-0.005144	-0.0379	0.0218	yes			146	100	lo-pod3b-7 spread_wo_conflict.csv	lo-pod3b-6 verify_spread_wo_conflict.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	lo/hi here are the 2.5/97.5 percentiles across partitions, not a bootstrap
spread_agreement_wo_trainz_mean	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: mean	0.929203			0.929203			yes			322	175	lo-pod3b-7 spread_wo_agreement.csv	lo-pod3b-6 verify_spread_wo_agreement.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_agreement_wo_trainz_p2_5	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: p2_5	0.915995			0.915995			yes			322	175	lo-pod3b-7 spread_wo_agreement.csv	lo-pod3b-6 verify_spread_wo_agreement.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_agreement_wo_trainz_p97_5	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: p97_5	0.942119			0.942119			yes			322	175	lo-pod3b-7 spread_wo_agreement.csv	lo-pod3b-6 verify_spread_wo_agreement.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_agreement_wo_trainz_min	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: min	0.908740			0.908740			yes			322	175	lo-pod3b-7 spread_wo_agreement.csv	lo-pod3b-6 verify_spread_wo_agreement.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_agreement_wo_trainz_max	probe AUC with d removed (train-fold z, as shipped) over the 200 partitions: max	0.949198			0.949198			yes			322	175	lo-pod3b-7 spread_wo_agreement.csv	lo-pod3b-6 verify_spread_wo_agreement.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_agreement_wo_trainz_n_at_or_above_published	partitions (of 200) with d-removed AUC at or above the POD3-split value 0.9341	45			45			yes			322	175	lo-pod3b-7 spread_wo_agreement.csv	lo-pod3b-6 verify_spread_wo_agreement.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_agreement_probe_minus_wo_trainz_mean	probe AUC minus d-removed AUC, mean over the 200 partitions	-0.003015	-0.0092	0.0013	-0.003015	-0.0092	0.0013	yes			322	175	lo-pod3b-7 spread_wo_agreement.csv	lo-pod3b-6 verify_spread_wo_agreement.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	lo/hi here are the 2.5/97.5 percentiles across partitions, not a bootstrap
spread_agreement_wo_foldz_mean	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: mean	0.918134			0.918134			yes			322	175	lo-pod3b-7 spread_wo_agreement.csv	lo-pod3b-6 verify_spread_wo_agreement.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_agreement_wo_foldz_p2_5	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: p2_5	0.890881			0.890881			yes			322	175	lo-pod3b-7 spread_wo_agreement.csv	lo-pod3b-6 verify_spread_wo_agreement.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_agreement_wo_foldz_p97_5	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: p97_5	0.936953			0.936953			yes			322	175	lo-pod3b-7 spread_wo_agreement.csv	lo-pod3b-6 verify_spread_wo_agreement.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_agreement_wo_foldz_min	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: min	0.884274			0.884274			yes			322	175	lo-pod3b-7 spread_wo_agreement.csv	lo-pod3b-6 verify_spread_wo_agreement.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_agreement_wo_foldz_max	probe AUC with d removed (held-out-fold z, canonical) over the 200 partitions: max	0.948403			0.948403			yes			322	175	lo-pod3b-7 spread_wo_agreement.csv	lo-pod3b-6 verify_spread_wo_agreement.csv	audit_p16 item 6: POD3 by-arm without-d (2 rows) had no twin	
spread_agreement_wo_foldz_n_at_or_above_published	partitions (of 200) with d-removed AUC at or above the POD3-split value 0.9326	20			20			yes			322	175	lo-pod3b-7 spread_wo_agreement.csv	lo-pod3b-6 verify_spread_wo_agreement.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
spread_agreement_probe_minus_wo_foldz_mean	probe AUC minus d-removed AUC, mean over the 200 partitions	0.008053	-0.0044	0.0293	0.008053	-0.0044	0.0293	yes			322	175	lo-pod3b-7 spread_wo_agreement.csv	lo-pod3b-6 verify_spread_wo_agreement.csv	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	lo/hi here are the 2.5/97.5 percentiles across partitions, not a bootstrap
lmh_sha256_bf16	sha256 of thinker.lm_head.weight raw bf16 bytes, Qwen3-Omni-30B-A3B-Instruct rev 26291f79, shard 13	ef1c824486f6f733cb2479d50b43ca4b4dba940f310b377c89a038be5955210b			ef1c824486f6f733cb2479d50b43ca4b4dba940f310b377c89a038be5955210b			yes			468	228	lo-pod3b-1 lmh_fetch.json (HTTP range read, manual bf16 parse)	lo-pod3b-2 pod3b_verify.json (full shard via huggingface_hub, safetensors/torch)	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	
lmh_projd_maxabs_vs_pod	max |X.d - proj_d saved by POD3 in q3o_perp_cols.npz| (d rebuilt from the downloaded lm_head)	1.40e-06			1.40e-06			yes			468	228	lo-pod3b-1 pod3b_primary_fp16.json	lo-pod3b-2 pod3b_verify.json	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	relative size 3.3e-07; the pod's d and this d are the same vector
lmh_pyes_maxabs_vs_saved	max |p_yes from float64 softmax(X W^T) - p_yes saved from the bf16 GPU forward pass|	0.029537			0.029537			yes			468	228	lo-pod3b-1 pod3b_primary_fp16.json	lo-pod3b-2 pod3b_verify.json	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	median 0.0061, Pearson 0.9992; bf16 logit rounding on the GPU, not a different head
refit_oof_maxabs_vs_pod	max |probe OOF from the Linux refit - oof saved by POD3 in q3o_perp_cols.npz|	5.82e-08			6.71e-07			yes			468	228	lo-pod3b-1 pod3b_primary_fp16.json	lo-pod3b-2 pod3b_verify.json	STATUS_LEDGER 5.3 and 6.5 / audit_p16 left list: Mac refit 0.7864 vs 0.8307 not logged or explained	
